total_result,block_size,color_channel,bin_width,coefficients
0.7544,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.7449,6,ChannelYUV.V,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.7193,6,ChannelYUV.U,0.1,[(0|2)]
0.7522,6,ChannelYUV.V,0.1,[(0|2)]
0.5629,6,ChannelYUV.U,0.1,[(3|5)]
0.5782,6,ChannelYUV.V,0.1,[(3|5)]
0.7741,6,ChannelYUV.U,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7537,6,ChannelYUV.V,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.8487,6,ChannelYUV.U,0.1,[(5|5)(5|0)]
0.7749,6,ChannelYUV.V,0.1,[(5|5)(5|0)]
0.7500,6,ChannelYUV.U,0.1,[(5|3)(1|0)]
0.7551,6,ChannelYUV.V,0.1,[(5|3)(1|0)]
0.7858,6,ChannelYUV.U,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7770,6,ChannelYUV.V,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7595,6,ChannelYUV.U,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7675,6,ChannelYUV.V,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.8823,6,ChannelYUV.U,0.1,[(0|5)]
0.7887,6,ChannelYUV.V,0.1,[(0|5)]
0.7544,6,ChannelYUV.U,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7734,6,ChannelYUV.V,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7770,6,ChannelYUV.U,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7595,6,ChannelYUV.V,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7442,6,ChannelYUV.U,0.1,[(3|0)(1|4)(3|2)]
0.7675,6,ChannelYUV.V,0.1,[(3|0)(1|4)(3|2)]
0.7376,8,ChannelYUV.U,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.7230,8,ChannelYUV.V,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.5885,8,ChannelYUV.U,0.1,[(5|3)]
0.5621,8,ChannelYUV.V,0.1,[(5|3)]
0.8187,8,ChannelYUV.U,0.1,[(6|2)(0|7)]
0.7529,8,ChannelYUV.V,0.1,[(6|2)(0|7)]
0.7127,8,ChannelYUV.U,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7098,8,ChannelYUV.V,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7792,8,ChannelYUV.U,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7917,8,ChannelYUV.V,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7683,8,ChannelYUV.U,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.7697,8,ChannelYUV.V,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.5110,8,ChannelYUV.U,0.1,[(5|4)(4|7)]
0.5044,8,ChannelYUV.V,0.1,[(5|4)(4|7)]
0.5526,8,ChannelYUV.U,0.1,[(4|1)(4|6)]
0.5870,8,ChannelYUV.V,0.1,[(4|1)(4|6)]
0.6520,8,ChannelYUV.U,0.1,[(2|2)]
0.6674,8,ChannelYUV.V,0.1,[(2|2)]
0.7588,8,ChannelYUV.U,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7376,8,ChannelYUV.V,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7186,8,ChannelYUV.U,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.7427,8,ChannelYUV.V,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.5351,8,ChannelYUV.U,0.1,[(7|5)]
0.5439,8,ChannelYUV.V,0.1,[(7|5)]
