total_result,block_size,color_channel,bin_width,coefficients
0.6696,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.6535,6,ChannelYUV.V,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.5307,6,ChannelYUV.U,0.1,[(0|2)]
0.5292,6,ChannelYUV.V,0.1,[(0|2)]
0.5943,6,ChannelYUV.U,0.1,[(3|5)]
0.5380,6,ChannelYUV.V,0.1,[(3|5)]
0.7456,6,ChannelYUV.U,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7346,6,ChannelYUV.V,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7975,6,ChannelYUV.U,0.1,[(5|5)(5|0)]
0.7588,6,ChannelYUV.V,0.1,[(5|5)(5|0)]
0.6930,6,ChannelYUV.U,0.1,[(5|3)(1|0)]
0.6820,6,ChannelYUV.V,0.1,[(5|3)(1|0)]
0.7325,6,ChannelYUV.U,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7215,6,ChannelYUV.V,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7193,6,ChannelYUV.U,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7442,6,ChannelYUV.V,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7632,6,ChannelYUV.U,0.1,[(0|5)]
0.7420,6,ChannelYUV.V,0.1,[(0|5)]
0.7171,6,ChannelYUV.U,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7171,6,ChannelYUV.V,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.6681,6,ChannelYUV.U,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.6557,6,ChannelYUV.V,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.6272,6,ChannelYUV.U,0.1,[(3|0)(1|4)(3|2)]
0.6155,6,ChannelYUV.V,0.1,[(3|0)(1|4)(3|2)]
0.7427,8,ChannelYUV.U,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.7193,8,ChannelYUV.V,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.5095,8,ChannelYUV.U,0.1,[(5|3)]
0.4825,8,ChannelYUV.V,0.1,[(5|3)]
0.7485,8,ChannelYUV.U,0.1,[(6|2)(0|7)]
0.7273,8,ChannelYUV.V,0.1,[(6|2)(0|7)]
0.6740,8,ChannelYUV.U,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.6754,8,ChannelYUV.V,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.8004,8,ChannelYUV.U,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7968,8,ChannelYUV.V,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.8136,8,ChannelYUV.U,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.8034,8,ChannelYUV.V,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.5855,8,ChannelYUV.U,0.1,[(5|4)(4|7)]
0.5709,8,ChannelYUV.V,0.1,[(5|4)(4|7)]
0.6075,8,ChannelYUV.U,0.1,[(4|1)(4|6)]
0.5906,8,ChannelYUV.V,0.1,[(4|1)(4|6)]
0.6009,8,ChannelYUV.U,0.1,[(2|2)]
0.6023,8,ChannelYUV.V,0.1,[(2|2)]
0.7829,8,ChannelYUV.U,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7880,8,ChannelYUV.V,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7076,8,ChannelYUV.U,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.7164,8,ChannelYUV.V,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.4971,8,ChannelYUV.U,0.1,[(7|5)]
0.4569,8,ChannelYUV.V,0.1,[(7|5)]
