total_result,block_size,color_channel,bin_width,coefficients
0.5351,6,ChannelYUV.Y,0.1,[(0|0)(0|2)(0|5)(1|1)]
0.8019,6,ChannelYUV.U,0.1,[(0|0)(0|2)(0|5)(1|1)]
0.8092,6,ChannelYUV.V,0.1,[(0|0)(0|2)(0|5)(1|1)]
0.1937,6,ChannelYUV.Y,0.1,[(0|0)(1|0)]
0.6367,6,ChannelYUV.U,0.1,[(0|0)(1|0)]
0.6586,6,ChannelYUV.V,0.1,[(0|0)(1|0)]
0.2573,6,ChannelYUV.Y,0.1,[(0|0)(0|1)(2|3)]
0.7061,6,ChannelYUV.U,0.1,[(0|0)(0|1)(2|3)]
0.7398,6,ChannelYUV.V,0.1,[(0|0)(0|1)(2|3)]
0.3575,6,ChannelYUV.Y,0.1,[(0|0)(3|4)]
0.6440,6,ChannelYUV.U,0.1,[(0|0)(3|4)]
0.6374,6,ChannelYUV.V,0.1,[(0|0)(3|4)]
0.7127,6,ChannelYUV.Y,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.8268,6,ChannelYUV.U,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.8202,6,ChannelYUV.V,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.6389,8,ChannelYUV.Y,0.1,[(0|0)(1|3)(0|4)(1|6)]
0.7851,8,ChannelYUV.U,0.1,[(0|0)(1|3)(0|4)(1|6)]
0.8004,8,ChannelYUV.V,0.1,[(0|0)(1|3)(0|4)(1|6)]
0.4020,8,ChannelYUV.Y,0.1,[(0|0)(1|4)]
0.6075,8,ChannelYUV.U,0.1,[(0|0)(1|4)]
0.6425,8,ChannelYUV.V,0.1,[(0|0)(1|4)]
0.5526,8,ChannelYUV.Y,0.1,[(0|0)(0|2)(0|3)(3|6)]
0.7566,8,ChannelYUV.U,0.1,[(0|0)(0|2)(0|3)(3|6)]
0.7712,8,ChannelYUV.V,0.1,[(0|0)(0|2)(0|3)(3|6)]
0.4086,8,ChannelYUV.Y,0.1,[(0|0)(5|4)]
0.6228,8,ChannelYUV.U,0.1,[(0|0)(5|4)]
0.5885,8,ChannelYUV.V,0.1,[(0|0)(5|4)]
0.6360,8,ChannelYUV.Y,0.1,[(0|0)(1|3)(2|3)(2|7)(7|3)]
0.7317,8,ChannelYUV.U,0.1,[(0|0)(1|3)(2|3)(2|7)(7|3)]
0.3048,10,ChannelYUV.Y,0.1,[(0|0)(7|4)(1|1)(1|4)]
0.7463,10,ChannelYUV.U,0.1,[(0|0)(7|4)(1|1)(1|4)]
0.7178,10,ChannelYUV.V,0.1,[(0|0)(7|4)(1|1)(1|4)]
0.2917,10,ChannelYUV.Y,0.1,[(0|0)(8|5)]
0.5936,10,ChannelYUV.U,0.1,[(0|0)(8|5)]
0.5899,10,ChannelYUV.V,0.1,[(0|0)(8|5)]
0.1440,10,ChannelYUV.Y,0.1,[(0|0)(1|2)]
0.5855,10,ChannelYUV.U,0.1,[(0|0)(1|2)]
0.5958,10,ChannelYUV.V,0.1,[(0|0)(1|2)]
0.1389,10,ChannelYUV.Y,0.1,[(0|0)(0|2)(0|3)(3|0)]
0.6075,10,ChannelYUV.U,0.1,[(0|0)(0|2)(0|3)(3|0)]
0.6096,10,ChannelYUV.V,0.1,[(0|0)(0|2)(0|3)(3|0)]
0.1952,10,ChannelYUV.Y,0.1,[(0|0)(4|4)]
0.6031,10,ChannelYUV.U,0.1,[(0|0)(4|4)]
0.5519,10,ChannelYUV.V,0.1,[(0|0)(4|4)]
0.5782,12,ChannelYUV.Y,0.1,[(0|0)(0|1)(0|8)(1|11)(2|5)]
