total_result,block_size,color_channel,bin_width,coefficients
0.6623,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.6601,6,ChannelYUV.V,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.5409,6,ChannelYUV.U,0.1,[(0|2)]
0.5409,6,ChannelYUV.V,0.1,[(0|2)]
0.6082,6,ChannelYUV.U,0.1,[(3|5)]
0.5746,6,ChannelYUV.V,0.1,[(3|5)]
0.7083,6,ChannelYUV.U,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7032,6,ChannelYUV.V,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7690,6,ChannelYUV.U,0.1,[(5|5)(5|0)]
0.7383,6,ChannelYUV.V,0.1,[(5|5)(5|0)]
0.6908,6,ChannelYUV.U,0.1,[(5|3)(1|0)]
0.6959,6,ChannelYUV.V,0.1,[(5|3)(1|0)]
0.6915,6,ChannelYUV.U,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7010,6,ChannelYUV.V,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7295,6,ChannelYUV.U,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7259,6,ChannelYUV.V,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7273,6,ChannelYUV.U,0.1,[(0|5)]
0.7149,6,ChannelYUV.V,0.1,[(0|5)]
0.6988,6,ChannelYUV.U,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7076,6,ChannelYUV.V,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.6798,6,ChannelYUV.U,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.6623,6,ChannelYUV.V,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.6447,6,ChannelYUV.U,0.1,[(3|0)(1|4)(3|2)]
0.6630,6,ChannelYUV.V,0.1,[(3|0)(1|4)(3|2)]
0.7098,8,ChannelYUV.U,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.7398,8,ChannelYUV.V,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.5270,8,ChannelYUV.U,0.1,[(5|3)]
0.5066,8,ChannelYUV.V,0.1,[(5|3)]
0.7507,8,ChannelYUV.U,0.1,[(6|2)(0|7)]
0.7244,8,ChannelYUV.V,0.1,[(6|2)(0|7)]
0.6418,8,ChannelYUV.U,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.6542,8,ChannelYUV.V,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7566,8,ChannelYUV.U,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7770,8,ChannelYUV.V,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7822,8,ChannelYUV.U,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.7785,8,ChannelYUV.V,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.6330,8,ChannelYUV.U,0.1,[(5|4)(4|7)]
0.6177,8,ChannelYUV.V,0.1,[(5|4)(4|7)]
0.6162,8,ChannelYUV.U,0.1,[(4|1)(4|6)]
0.6184,8,ChannelYUV.V,0.1,[(4|1)(4|6)]
0.5673,8,ChannelYUV.U,0.1,[(2|2)]
0.5994,8,ChannelYUV.V,0.1,[(2|2)]
0.7558,8,ChannelYUV.U,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7683,8,ChannelYUV.V,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.6915,8,ChannelYUV.U,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.7156,8,ChannelYUV.V,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.5424,8,ChannelYUV.U,0.1,[(7|5)]
0.5373,8,ChannelYUV.V,0.1,[(7|5)]
