total_result,block_size,color_channel,bin_width,coefficients
0.2785,6,ChannelYUV.Y,0.1,[(0|0)(0|2)(0|5)(1|1)]
0.6316,6,ChannelYUV.U,0.1,[(0|0)(0|2)(0|5)(1|1)]
0.6411,6,ChannelYUV.V,0.1,[(0|0)(0|2)(0|5)(1|1)]
0.0921,6,ChannelYUV.Y,0.1,[(0|0)(1|0)]
0.4423,6,ChannelYUV.U,0.1,[(0|0)(1|0)]
0.4671,6,ChannelYUV.V,0.1,[(0|0)(1|0)]
0.1681,6,ChannelYUV.Y,0.1,[(0|0)(0|1)(2|3)]
0.5541,6,ChannelYUV.U,0.1,[(0|0)(0|1)(2|3)]
0.5833,6,ChannelYUV.V,0.1,[(0|0)(0|1)(2|3)]
0.2303,6,ChannelYUV.Y,0.1,[(0|0)(3|4)]
0.5088,6,ChannelYUV.U,0.1,[(0|0)(3|4)]
0.5007,6,ChannelYUV.V,0.1,[(0|0)(3|4)]
0.3823,6,ChannelYUV.Y,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.6579,6,ChannelYUV.U,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.6601,6,ChannelYUV.V,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.4276,8,ChannelYUV.Y,0.1,[(0|0)(1|3)(0|4)(1|6)]
0.6235,8,ChannelYUV.U,0.1,[(0|0)(1|3)(0|4)(1|6)]
0.6542,8,ChannelYUV.V,0.1,[(0|0)(1|3)(0|4)(1|6)]
0.3019,8,ChannelYUV.Y,0.1,[(0|0)(1|4)]
0.5307,8,ChannelYUV.U,0.1,[(0|0)(1|4)]
0.5680,8,ChannelYUV.V,0.1,[(0|0)(1|4)]
0.3860,8,ChannelYUV.Y,0.1,[(0|0)(0|2)(0|3)(3|6)]
0.6089,8,ChannelYUV.U,0.1,[(0|0)(0|2)(0|3)(3|6)]
0.6067,8,ChannelYUV.V,0.1,[(0|0)(0|2)(0|3)(3|6)]
0.3523,8,ChannelYUV.Y,0.1,[(0|0)(5|4)]
