total_result,block_size,color_channel,bin_width,coefficients
0.6601,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.6287,6,ChannelYUV.V,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.5402,6,ChannelYUV.U,0.1,[(0|2)]
0.5746,6,ChannelYUV.V,0.1,[(0|2)]
0.7295,6,ChannelYUV.U,0.1,[(3|5)]
0.7281,6,ChannelYUV.V,0.1,[(3|5)]
0.6923,6,ChannelYUV.U,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.6462,6,ChannelYUV.V,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7887,6,ChannelYUV.U,0.1,[(5|5)(5|0)]
0.7851,6,ChannelYUV.V,0.1,[(5|5)(5|0)]
0.7580,6,ChannelYUV.U,0.1,[(5|3)(1|0)]
0.7295,6,ChannelYUV.V,0.1,[(5|3)(1|0)]
0.6827,6,ChannelYUV.U,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.6301,6,ChannelYUV.V,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7164,6,ChannelYUV.U,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.6637,6,ChannelYUV.V,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7361,6,ChannelYUV.U,0.1,[(0|5)]
0.6835,6,ChannelYUV.V,0.1,[(0|5)]
0.7149,6,ChannelYUV.U,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.6725,6,ChannelYUV.V,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.6696,6,ChannelYUV.U,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.6308,6,ChannelYUV.V,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.6827,6,ChannelYUV.U,0.1,[(3|0)(1|4)(3|2)]
0.6455,6,ChannelYUV.V,0.1,[(3|0)(1|4)(3|2)]
0.9064,8,ChannelYUV.U,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.9050,8,ChannelYUV.V,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.7054,8,ChannelYUV.U,0.1,[(5|3)]
0.6857,8,ChannelYUV.V,0.1,[(5|3)]
0.8823,8,ChannelYUV.U,0.1,[(6|2)(0|7)]
0.8838,8,ChannelYUV.V,0.1,[(6|2)(0|7)]
0.8567,8,ChannelYUV.U,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.8735,8,ChannelYUV.V,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.9094,8,ChannelYUV.U,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.9108,8,ChannelYUV.V,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.9276,8,ChannelYUV.U,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.9254,8,ChannelYUV.V,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.8158,8,ChannelYUV.U,0.1,[(5|4)(4|7)]
0.8216,8,ChannelYUV.V,0.1,[(5|4)(4|7)]
0.8231,8,ChannelYUV.U,0.1,[(4|1)(4|6)]
0.8326,8,ChannelYUV.V,0.1,[(4|1)(4|6)]
0.7880,8,ChannelYUV.U,0.1,[(2|2)]
0.7873,8,ChannelYUV.V,0.1,[(2|2)]
0.9159,8,ChannelYUV.U,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.9145,8,ChannelYUV.V,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.8830,8,ChannelYUV.U,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.8969,8,ChannelYUV.V,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.7317,8,ChannelYUV.U,0.1,[(7|5)]
0.6996,8,ChannelYUV.V,0.1,[(7|5)]
