total_result,block_size,color_channel,bin_width,coefficients
0.8158,6,ChannelYUV.V,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.7719,6,ChannelYUV.V,0.1,[(0|0)(0|1)(0|2)(0|3)(0|4)(0|5)(1|0)(1|1)(1|2)(1|3)(1|4)(1|5)(2|0)(2|1)(2|2)(2|3)(2|4)(2|5)(3|0)(3|1)(3|2)(3|3)(3|4)(3|5)(4|0)(4|1)(4|5)]
0.7770,6,ChannelYUV.V,0.1,[(0|0)(0|1)(0|2)(0|3)(0|5)(1|1)(1|3)(1|5)(2|3)(3|5)(4|5)]
0.8092,6,ChannelYUV.V,0.1,[(0|0)(0|2)(0|5)(1|1)(1|3)(1|5)(4|5)]
0.7909,6,ChannelYUV.V,0.1,[(0|0)(0|2)(0|5)(1|1)(1|3)(1|5)]
0.8268,6,ChannelYUV.V,0.1,[(0|0)(0|2)(0|5)(1|1)(1|3)(1|5)(4|5)(5|0)]
0.8443,6,ChannelYUV.V,0.1,[(0|0)(0|5)(1|1)(1|3)(1|5)(4|5)(5|0)]
0.8326,6,ChannelYUV.V,0.1,[(0|0)(0|5)(1|1)(1|5)(4|5)(5|0)]
0.8480,6,ChannelYUV.V,0.1,[(0|5)(1|1)(1|3)(1|5)(4|5)(5|0)]
0.8326,6,ChannelYUV.V,0.1,[(1|1)(1|3)(1|5)(4|5)(5|0)]
