total_result,block_size,color_channel,bin_width,coefficients
0.6974,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.7537,6,ChannelYUV.V,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.6096,6,ChannelYUV.U,0.1,[(0|2)]
0.6308,6,ChannelYUV.V,0.1,[(0|2)]
0.5797,6,ChannelYUV.U,0.1,[(3|5)]
0.5431,6,ChannelYUV.V,0.1,[(3|5)]
0.7485,6,ChannelYUV.U,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7558,6,ChannelYUV.V,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.8450,6,ChannelYUV.U,0.1,[(5|5)(5|0)]
0.8121,6,ChannelYUV.V,0.1,[(5|5)(5|0)]
0.7251,6,ChannelYUV.U,0.1,[(5|3)(1|0)]
0.7215,6,ChannelYUV.V,0.1,[(5|3)(1|0)]
0.7361,6,ChannelYUV.U,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7588,6,ChannelYUV.V,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7617,6,ChannelYUV.U,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.7697,6,ChannelYUV.V,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.8531,6,ChannelYUV.U,0.1,[(0|5)]
0.7873,6,ChannelYUV.V,0.1,[(0|5)]
0.7230,6,ChannelYUV.U,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7697,6,ChannelYUV.V,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7295,6,ChannelYUV.U,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7222,6,ChannelYUV.V,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7164,6,ChannelYUV.U,0.1,[(3|0)(1|4)(3|2)]
0.7149,6,ChannelYUV.V,0.1,[(3|0)(1|4)(3|2)]
0.7266,8,ChannelYUV.U,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.7442,8,ChannelYUV.V,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.5146,8,ChannelYUV.U,0.1,[(5|3)]
0.4759,8,ChannelYUV.V,0.1,[(5|3)]
0.7705,8,ChannelYUV.U,0.1,[(6|2)(0|7)]
0.7295,8,ChannelYUV.V,0.1,[(6|2)(0|7)]
0.7113,8,ChannelYUV.U,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7478,8,ChannelYUV.V,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7858,8,ChannelYUV.U,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.8085,8,ChannelYUV.V,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.7851,8,ChannelYUV.U,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.7961,8,ChannelYUV.V,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.5183,8,ChannelYUV.U,0.1,[(5|4)(4|7)]
0.5241,8,ChannelYUV.V,0.1,[(5|4)(4|7)]
0.5380,8,ChannelYUV.U,0.1,[(4|1)(4|6)]
0.5687,8,ChannelYUV.V,0.1,[(4|1)(4|6)]
0.6272,8,ChannelYUV.U,0.1,[(2|2)]
0.6564,8,ChannelYUV.V,0.1,[(2|2)]
0.7822,8,ChannelYUV.U,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7661,8,ChannelYUV.V,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.6937,8,ChannelYUV.U,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.7325,8,ChannelYUV.V,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.4854,8,ChannelYUV.U,0.1,[(7|5)]
0.4839,8,ChannelYUV.V,0.1,[(7|5)]
