total_result,block_size,color_channel,bin_width,coefficients
0.7127,6,ChannelYUV.U,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.7193,6,ChannelYUV.V,0.1,[(0|1)(0|3)(1|0)(1|1)(1|2)(2|4)(3|5)]
0.5592,6,ChannelYUV.U,0.1,[(0|2)]
0.5731,6,ChannelYUV.V,0.1,[(0|2)]
0.5738,6,ChannelYUV.U,0.1,[(3|5)]
0.5526,6,ChannelYUV.V,0.1,[(3|5)]
0.7865,6,ChannelYUV.U,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.7749,6,ChannelYUV.V,0.1,[(5|2)(0|1)(5|3)(1|0)(1|2)(1|4)(2|0)(2|4)(5|0)(5|1)]
0.8458,6,ChannelYUV.U,0.1,[(5|5)(5|0)]
0.8136,6,ChannelYUV.V,0.1,[(5|5)(5|0)]
0.7061,6,ChannelYUV.U,0.1,[(5|3)(1|0)]
0.6923,6,ChannelYUV.V,0.1,[(5|3)(1|0)]
0.7690,6,ChannelYUV.U,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7975,6,ChannelYUV.V,0.1,[(0|3)(0|5)(2|1)(2|4)(3|0)(3|2)(3|5)(5|0)(5|1)]
0.7851,6,ChannelYUV.U,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.8048,6,ChannelYUV.V,0.1,[(5|3)(0|2)(0|1)(0|5)(1|4)(1|5)(3|4)(4|1)(5|1)]
0.8129,6,ChannelYUV.U,0.1,[(0|5)]
0.8012,6,ChannelYUV.V,0.1,[(0|5)]
0.7661,6,ChannelYUV.U,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7873,6,ChannelYUV.V,0.1,[(5|2)(0|2)(5|4)(0|5)(1|2)(1|4)(1|5)(2|2)(3|5)]
0.7515,6,ChannelYUV.U,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.7368,6,ChannelYUV.V,0.1,[(4|3)(3|0)(0|3)(5|0)]
0.6769,6,ChannelYUV.U,0.1,[(3|0)(1|4)(3|2)]
0.6908,6,ChannelYUV.V,0.1,[(3|0)(1|4)(3|2)]
0.7749,8,ChannelYUV.U,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.7741,8,ChannelYUV.V,0.1,[(0|1)(0|6)(4|6)(1|0)(6|4)(7|3)(7|5)]
0.5292,8,ChannelYUV.U,0.1,[(5|3)]
0.4408,8,ChannelYUV.V,0.1,[(5|3)]
0.7602,8,ChannelYUV.U,0.1,[(6|2)(0|7)]
0.7310,8,ChannelYUV.V,0.1,[(6|2)(0|7)]
0.7317,8,ChannelYUV.U,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.7507,8,ChannelYUV.V,0.1,[(2|0)(0|2)(6|3)(2|7)]
0.8099,8,ChannelYUV.U,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.8348,8,ChannelYUV.V,0.1,[(0|1)(0|6)(5|0)(1|0)(1|2)(1|4)(5|6)(6|7)(3|6)(3|7)]
0.8282,8,ChannelYUV.U,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.8319,8,ChannelYUV.V,0.1,[(4|0)(4|3)(0|5)(5|3)(2|0)(3|6)(7|1)(7|3)(7|6)]
0.5365,8,ChannelYUV.U,0.1,[(5|4)(4|7)]
0.5417,8,ChannelYUV.V,0.1,[(5|4)(4|7)]
0.6206,8,ChannelYUV.U,0.1,[(4|1)(4|6)]
0.6382,8,ChannelYUV.V,0.1,[(4|1)(4|6)]
0.6740,8,ChannelYUV.U,0.1,[(2|2)]
0.6645,8,ChannelYUV.V,0.1,[(2|2)]
0.8114,8,ChannelYUV.U,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.8165,8,ChannelYUV.V,0.1,[(0|5)(5|2)(2|0)(2|2)(2|4)(2|7)(6|7)(3|7)]
0.7544,8,ChannelYUV.U,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.7646,8,ChannelYUV.V,0.1,[(4|2)(5|3)(7|1)(3|6)]
0.5446,8,ChannelYUV.U,0.1,[(7|5)]
0.4949,8,ChannelYUV.V,0.1,[(7|5)]
